Nome do equipamento ou serviço,Tipo do serviço,Endereço,Horário de funcionamento,Telefone,Área de abrangência,Público,Tipo de Equipamento,Região de planejamento,Observação,Email,Bairro,Fonte do registro,Latitude,Longitude
CENTRO DE CONVIVÊNCIA CAPIM MELADO,Centro de Convivência,Rua Bispo Dom João da Mata s/n – Capim Melado – Niterói/ RJ,8h às 18h,(21) 3962-4100/2620-040,"Cubango, Viçoso Jardim, Fonseca (Alameda São Boaventura: do Horto do Fonseca até a subida da Caixa D'água), Santa Rosa (Rua Noronha Torrezão), Serrão, Morro do Bumba, Comunidade São José, Ititioca, Atalaia",,,Praias da Baía,,cccapimmelado@smases.niteroi.rj.gov.br,Santa Rosa,Mapa de Serviços e Equipamentos,"-22,8959748","-43,0875895"
Centro de Convivência Inter Geracional Helena Tibau,,"Rua Professor Otacílio, 145",08:00 ás 17:00,(21)2611-8683,,,Centro de Convivência,Praias da Baía,Segunda-feira a Sexta- feira,helenatibau.smases@gmail.com,Santa Rosa,Mapa de Equipamentos da Assistência Social,"-22,8998490","-43,0989140"
CENTRO INTEGRADO MULTIDISCIPLINAR - POP (CIPOP),Centro POP,"Rua José Figueiredo, 30, Centro, Niterói",Das 7h às 19h,,Todo o Município de Niterói,,,Praias da Baía,,,Centro,Mapa de Serviços e Equipamentos,"-22,8868674","-43,1175806"
CENTRO POP,Centro POP,"Rua Coronel Gomes Machado, nº279, Centro– Niterói/RJ",8h às 18h,(21) 3962-4100/2620-0403 ramal - 559,Todo o Município de Niterói,,CENTRO - POP,Praias da Baía,Segunda-feira a Sexta- feira,centropop@smases.niteroi.rj.gov.br,Centro,Ambos os mapas,"-22,8921640","-43,1171670"
CENTRO PÚBLICO DE REFERÊNCIA DE ECONOMIA SOLIDÁRIA - CASA PAUL SINGER (Casa Azul),Centro Publico de Referencia de Economia Solidária,"Av. Ernani do Amaral Peixoto, 901 - Centro - Niterói - RJ",10h ás 17h,,Todo o Município de Niterói,,,Praias da Baía,,maicon.carlos@smases.niteroi.rj.gov.br,Centro,Mapa de Serviços e Equipamentos,"-22,8937280","-43,1147760"
CONSELHO MUNICIPAL DE ASSISTÊNCIA SOCIAL - CMAS,Conselho Municipal de Direitos,"Rua Coronel Gomes Machado nº 259, Centro– Niterói/RJ",9h às 17h,(21) 2620-1793,Todo o município de Niterói,,,Praias da Baía,,cmasnit@smases.niteroi.rj.gov.br,Centro,Mapa de Serviços e Equipamentos,"-22,8923610","-43,1171140"
CONSELHO MUNICIPAL DE ECONOMIA SOLIDÁRIA - CMES,Conselho Municipal de Direitos,"Rua Av Amaral Peixoto, 116, sala 402, Centro, Niterói /RJ.",9h às 17h,,Todo o Município de Niterói,,,Praias da Baía,,coordena.ecosol@gmail.com,Centro,Mapa de Serviços e Equipamentos,"-22,8940350","-43,1220090"
CONSELHO MUNICIPAL DOS DIREITOS DA CRIANÇA E DO ADOLESCENTE - CMDCA,Conselho Municipal de Direitos,"Rua Coronel Gomes Machado nº 259, Centro– Niterói/RJ",9h às 17h,,Todo o município de Niterói,,,Praias da Baía,,cmdcanit@smases.niteroi.rj.gov.br,Centro,Mapa de Serviços e Equipamentos,"-22,8923610","-43,1171140"
CONSELHO TUTELAR I,Conselho Tutelar,"Rua Coronel Gomes Machado, 257. Centro, Niterói/RJ.",9h às 18h,(21) 2622-4066 & (21) 2717-4555,REGIÃO CENTRO E PRAIAS DA BAÍA,,Conselho Tutelar,Praias da Baía,,ctniteroi@gmail.com,Centro,Ambos os mapas,"-22,8927290","-43,1175320"
CONSELHO TUTELAR II,Conselho Tutelar,"Estrada Caetano Monteiro, nº 659, Largo da Batalha - Niterói/RJ.",9h às 18h,(21) 2719-2007 & (21) 2716-2008,"REGIÃO OCEÂNICA, PENDOTIBA E LESTE",,Conselho Tutelar,Pendotiba,,conselho_tutelar2@yahoo.com.br,Largo da Batalha,Ambos os mapas,"-22,9072930","-43,0618410"
CONSELHO TUTELAR III,Conselho Tutelar,"Alameda São Boaventura, nº338, Fonseca, Niterói/RJ.",9h às 18h,(21) 2625-3429,"""REGIÃO NORTE Bairros de abrangência: Baldeador, Barreto, Caramujo, Cubango, Engenhoca, Fonseca, Ilha da Conceição, Ponto Cem Réis, Santa Bárbara, Santana, São Lourenço, Tenente Jardim e Viçoso Jardim",,Conselho Tutelar,Norte,,ct3niteroi@gmail.com,Fonseca,Ambos os mapas,"-22,8808500","-43,1010710"
COORDENADORIA DOS CONSELHOS VINCULADOS,Coordenadoria do Conselhos Vinculados,"Rua Coronel Gomes Machado nº 259, Centro– Niterói/RJ",9h às 17h,,Todo o município de Niterói,,,Praias da Baía,,ccv.smases@gmail.com,Centro,Mapa de Serviços e Equipamentos,"-22,8923610","-43,1171140"
CRAS BADU,CRAS,"Estrada Caetano Monteiro, nº 820, Badú - Niterói/RJ.",9h às 18h,(21)2719-2270,"Badu, Largo da Batalha, Cantagalo, Ititioca, Maceió, Sapê, Matacapa, Vila Progresso, Maria Paula (parte de Niterói), Muriqui, Rio do Ouro (parte de Niterói), Pendotiba (parte de Niterói), Paciência, Cala Boca e Muriqui.",Badú; Largo da Batalha; Maceió; Cantagalo; Sapê; Matapaca; Maria Paula; Vila Progresso; Muriqui; Pac,CRAS,Pendotiba,Segunda-feira a Sexta- feira,crasbadu@smases.niteroi.rj.gov.br,Badu,Ambos os mapas,"-22,9076120","-43,0652790"
CRAS BARRETO,CRAS,"Rua Dr. Luiz Palmier, s/nº, Barreto - Niterói /RJ.",9h às 18h,(21) 3962-4100/2620-0403 ramal - 548,"Barreto, Engenhoca (até a Policlinica da Engenhoca), Venda da Cruz (parte de Niterói), Tenente Jardim, Santana, Buraco do Boi, Largo do Barradas, Leopoldina, Marítimo, Martins, Morro do Castro, Morro do Holofote e Comunidade Travessa 10.",Badú; Largo da Batalha; Maceió; Cantagalo; Sapê; Matapaca; Maria Paula; Vila Progresso; Muriqui; Pac,CRAS,Norte,Segunda-feira a Sexta- feira,crasbarreto@smases.niteroi.rj.gov.br,Barreto,Ambos os mapas,"-22,8649550","-43,0999950"
CRAS CAFUBÁ,,"Rua Deputado José Hertal, 320",08:00 ás 17:00,(21)2619-3981,,Badú; Largo da Batalha; Maceió; Cantagalo; Sapê; Matapaca; Maria Paula; Vila Progresso; Muriqui; Pac,CRAS,Oceânica,Segunda-feira a Sexta- feira,crascafuba@gmail.com,Cafubá,Mapa de Equipamentos da Assistência Social,"-22,9324700","-43,0696430"
CRAS CENTRO,CRAS,"Rua Coronel Gomes Machado, 259, Centro, Niterói, RJ",9h às 18h,(21) 3962-4100/2620-0403 ramal - 546,"Bairro de Fátima, Centro, Boa Viagem, Gragoatá, Icaraí, Ilha da Conceição, Ingá, Ponta da Areia, Ponto Cem Réis, São Domingos, São Lourenço, Vital Brasil, Boa Vista, Pé Pequeno, Santa Rosa.","Bairro de Fátima, Boa Viagem, Centro, Gragoatá, Icaraí, Ilha da Conceição, Ingá, Ponta da Areia, Po",CRAS,Praias da Baía,Segunda-feira a Sexta- feira,crascentro@smases.niteroi.rj.gov.br,Centro,Ambos os mapas,"-22,8923610","-43,1171140"
CRAS CUBANGO,CRAS,"Rua Desembargador Lima Castro, nº 241, Fonseca - Niterói/RJ.",9h às 18h,(21) 3962-4100/2620-0403 ramal - 549,"Cubango, Viçoso Jardim, Fonseca (Alameda São Boaventura: do Horto do Fonseca até a subida da Caixa D'água), Santa Rosa (Rua Noronha Torrezão), Serrão, Morro do Bumba, Comunidade São José, Ititioca, Atalaia","Cubango, Viçoso Jardim, Fonseca (Alameda São Boaventura: do Horto do Fonseca até a subida da Caixa D",CRAS,Norte,Segunda-feira a Sexta- feira,crascubango@smases.niteroi.rj.gov.br,Fonseca,Ambos os mapas,"-22,8869570","-43,0866930"
CRAS JURUJUBA,CRAS,"Rua Eugenio José Bernardes, nº163, Jurujuba, Niterói/RJ",9h às 18h,(21) 3962-4100/2620-0403 ramal - 550,"Jurujuba, Peixe Galo, Salinas, Várzea, Cascarejo, Nova Brasília, Pau Ferro, Ponto Final, Praia do Marisco, Lazaredo, Ponta da Ilha, Cais, Cavalão.","Jurujuba, Peixe Galo, Salinas, Várzea, Cascarejo, Nova Brasília, Pau Ferro, Ponto Final.",CRAS,Praias da Baía,Segunda-feira a Sexta- feira,crasjurujuba@smases.niteroi.rj.gov.br,Jurujuba,Ambos os mapas,"-22,9359730","-43,1137820"
CRAS MORRO DO CÉU,CRAS,"Rua da Horta, nº 01, Morro do Céu – Caramujo - Niterói/RJ.",9h às 16h,(21) 3962-4100/2620-0403 ramal - 551,Morro do Céu e Caramujo,"Morro do Céu, Caramujo",CRAS,Norte,,crasmorrodoceu@smases.niteroi.rj.gov.br,Caramujo,Ambos os mapas,"-22,8932875","-43,0688610"
CRAS PIRATININGA,CRAS,"Rua Dr. Raul de Oliveira 1209, Piratininga– Niterói/RJ",9h às 18h,,"Várzea das Moças, Engenho do Mato, Avenida Central, Vale Feliz, Itaipu, Piratininga, Santo Antônio, Boa Esperança, Bom Sucesso, Jacaré, Lagoa, Cafubá, Fazendinha, Caniçal,",,,Oceânica,,craspiratininga@smases.niteroi.rj.gov.br,Piratininga,Mapa de Serviços e Equipamentos,"-22,9415078","-43,0632205"
CRAS PREVENTÓRIO,CRAS,"Rua Eugenio José Bernardes, nº163, Jurujuba, Niterói/RJ",9h às 18h,(21) 3962-4100/2620-0403 ramal - 553,"Charitas, Preventório, São Francisco, Estrada da Cachoeira, Grota, Cachoeira.","Morro do Céu, Caramujo",CRAS,Praias da Baía,,craspreventorio@smases.niteroi.rj.gov.br,Jurujuba,Ambos os mapas,"-22,9359730","-43,1137820"
CRAS SANTA BÁRBARA,CRAS,"Avenida Desembargador Nestor Rodrigues Perlingeiro, nº 372, Santa Bárbara - Niterói/RJ.",9h às 18h,(21) 3962-4100/2620-0403 ramal - 554,"Baldeador, Sapê (Estrada da Florália e Biquinha), Santa Bárbara.",Santa Bárbara; Baldeador,CRAS,Norte,,crasssantabarbara@smases.niteroi.rj.gov.br,Santa Bárbara,Ambos os mapas,"-22,8833925","-43,0471607"
CRAS VILA IPIRANGA,CRAS,"Rua Tenente Osório, s/nº - Fonseca – Niterói – R.J",9h às 18h,(21) 3962-4100/2620-0403 ramal - 555,"Vila Ipiranga, Juca Branco, Cel. Leôncio, Engenhoca, Alameda São Boaventura (do Horto Fonseca até São Lourenço), Santo Cristo, Nova Brasília, Palmeira","Vila Ipiranga, Juca Branco, Cel. Leôncio, Engenhoca, Alameda São Boaventura (do Horto Fonseca até o",CRAS,Norte,,crasvilaipiranga@smases.niteroi.rj.gov.br,Fonseca,Ambos os mapas,"-22,8785568","-43,0920857"
CREAS CENTRO,CREAS,"Rua Coronel Gomes Machado nº 259, Centro– Niterói/RJ",9h às 18h,(21) 3962-4100/2620-0403 ramal - 557,Praias da Baía e Norte.,,CREAS,Praias da Baía,Segunda-feira a Sexta- feira,creascentro@smases.niteroi.rj.gov.br,Centro,Ambos os mapas,"-22,8923610","-43,1171140"
CREAS LARGO DA BATALHA,CREAS,"Rua Reverendo Armando Ferreira, nº19, Largo da Batalha– Niterói/RJ.",9h às 18h,(21) 3962-4100/2620-0403 ramal - 558,Região Oceânica,,CREAS,Pendotiba,Segunda-feira a Sexta- feira,creaslargo@smases.niteroi.rj.gov.br,Largo da Batalha,Ambos os mapas,"-22,9094239","-43,0676635"
ESCOLA DE GASTRONOMIA POPULAR DA ZONA NORTE,Escola de Gastronomia Popular,"Av. Alameda São Boaventura, n° 1066 - Fonseca, Niterói/RJ",,,Todo o Município de Niterói,,,Norte,,,Fonseca,Mapa de Serviços e Equipamentos,"-22,8815380","-43,0836030"
ESPAÇO DE CONVIVÊNCIA ZÉLIA GATTAI,Espaço de Convivência,"Av. Visconde do Rio Branco, nº281 - Centro, Niteró/RJ",10h às 15h,,usuários do Restaurante Cidadão Jorge Amado,,,Praias da Baía,,centrozeliagattai@gmail.com,Centro,Mapa de Serviços e Equipamentos,"-22,8903951","-43,1238617"
Espaço Ecosol,Espaço Ecosol,"Rua José Clemente 33, Centro, Niterói/RJ",,,Todo o município de Niterói,,,Praias da Baía,,,Centro,Mapa de Serviços e Equipamentos,"-22,8948650","-43,1229110"
FAMÍLIA ACOLHEDORA,Família Acolhedora,"Rua Coronel Gomes Machado nº 259, Centro– Niterói/RJ.",8h às 18h,(21) 96601-9591,Todo o Município de Niterói,,Unidade de Acolhimento,Praias da Baía,,sfacnit@smases.niteroi.rj.gov.br,Centro,Ambos os mapas,"-22,8923610","-43,1171140"
HOTEL PERNOITE,Unidade de Acolhimento,"Rua Guilherme Briggs, nº 9, São Domingos - Niterói - RJ",19h às 7h,,Todo o Município de Niterói,,,Praias da Baía,,hotelpernoite@smases.niteroi.rj.gov.br,São Domingos,Mapa de Serviços e Equipamentos,"-22,8984770","-43,1291690"
HOTEL SOCIAL,Unidade de Acolhimento,"Rua Passo da Pátria, nº 53, São Domingos - Niterói/ RJ",24h,(21) 99577-0276,Todo o Município de Niterói,Homens e Mulher de 18 a 59 anos,Unidade de Acolhimento,Praias da Baía,,hotelsocial@smases.niteroi.rj.gov.br,São Domingos,Ambos os mapas,"-22,9019530","-43,1310370"
PLANTÃO DO CONSELHO TUTELAR,Conselho Tutelar,,24h,(21) 9692.27190,Todo município de Niterói,,,Praias da Baía,,,Icaraí,Mapa de Serviços e Equipamentos,"-22,8979199","-43,1110972"
PROGRAMA DE ERRADICAÇÃO DE TRABALHO INFANTIL -PETI,Sede SMASES,"Rua Coronel Gomes Machado nº 259, Centro– Niterói/RJ.",8h às 18h,(21)2714-4201,Todo o Município de Niterói,,PETI,Praias da Baía,,petiniteroi2019@gmail.com,Centro,Ambos os mapas,"-22,8923610","-43,1171140"
RESIDÊNCIA INCLUSIVA 1,Unidade de Acolhimento,"Rua Ester de Andrade nº10, Maravista- Itaipu - Niterói - RJ",24h,(21) 2609-5068,Todo o município de Niterói,,,Oceânica,,resinclusiva@smases.niteroi.gov.br,Maravista,Mapa de Serviços e Equipamentos,"-22,9377731","-43,0200457"
RESIDÊNCIA INCLUSIVA 2,Unidade de Acolhimento,"Rua Dr. Cotrim da Silva, nº 41 - Centro",24h,,Todo o município de Niterói,,,Praias da Baía,,resinclusiva@smases.niteroi.gov.br,Centro,Mapa de Serviços e Equipamentos,"-22,8959420","-43,1187850"
RESIDÊNCIA INCLUSIVA 3,Unidade de Acolhimento,"Estrada Caetano Monteiro, nº 805, Badu",24h,,Todo o Município de Niterói,,,Pendotiba,,resinclusiva@smases.niteroi.gov.br,Badu,Mapa de Serviços e Equipamentos,"-22,9074250","-43,0656180"
RESTAURANTE POPULAR CIDADÃO CAROLINA DE JESUS,Restaurante Popular,"Alameda São Boaventura, n° 1066, Fonseca",Café da manhã das 06h às 09h Almoço das 10h às 15h,,Todo o Município de Niterói,,,Norte,,,Fonseca,Mapa de Serviços e Equipamentos,"-22,8815380","-43,0836030"
RESTAURANTE POPULAR CIDADÃO JORGE AMADO,Restaurante Popular,"Av. Visconde do Rio Branco, nº281 - Centro, Niteró/RJ","""Café da Manhã das 06h as 09h & Almoço 10h às 15h""",,Todo o Município de Niterói,,,Praias da Baía,,nilo.oliveira_1958@hotmail.com,Centro,Mapa de Serviços e Equipamentos,"-22,8903951","-43,1238617"
SCFV Engenhoca,Espaço de Convivência,"Rua Dr. Luiz Palmier, s/nº, Barreto - Niterói /RJ",8h ás 18h,,Todo o Município de Niterói,,,Norte,,ccengenhoca@smases.rj.gov.br,Barreto,Mapa de Serviços e Equipamentos,"-22,8637308","-43,0977273"
SCFV IDOSOS,Espaço de Convivência,"Rua Dr. Raul de Oliveira 1209, Piratininga – Niterói/RJ.",Das 9h às 18h,,Todo o Município de Niterói,,,Oceânica,,,Piratininga,Mapa de Serviços e Equipamentos,"-22,9415078","-43,0632205"
Sede Administrativa do Banco Araribóia,Banco Araribóia,"Rua Alcides Figueiredo 33, Centro",9h às 17h,,Todo o Município de Niterói,,,Praias da Baía,,sac@edinheiro.org,Centro,Mapa de Serviços e Equipamentos,"-22,8902290","-43,1175940"
SUBSECRETARIA DE ASSISTÊNCIA SOCIAL,Subsecretaria,"Rua Coronel Gomes Machado, 281, Centro, Niterói, RJ",8h às 18h,,Todo o Município de Niterói,,,Praias da Baía,,ssas@smases.niteroi.rj.gov.br,Centro,Mapa de Serviços e Equipamentos,"-22,8925470","-43,1164460"
SUBSECRETARIA DE ECONOMIA SOLIDÁRIA,Subsecretaria,"Rua Coronel Gomes Machado, 281, Centro, Niterói, RJ",8h às 18h,,Todo o Município de Niterói,,,Praias da Baía,,maicon.carlos@smases.niteroi.rj.gov.br,Centro,Mapa de Serviços e Equipamentos,"-22,8925470","-43,1164460"
"SUBSECRETARIA DE PLANEJAMENTO, ORÇAMENTO E ADMINISTRAÇÃO",Subsecretaria,"Rua Coronel Gomes Machado, 281, Centro, Niterói, RJ",8h às 18h,,Todo o Município de Niterói,,,Praias da Baía,,spoa@smases.niteroi.rj.gov.br,Centro,Mapa de Serviços e Equipamentos,"-22,8925470","-43,1164460"
SUBSECRETARIA DE SEGURANÇA ALIMENTAR E NUTRICIONAL - SUBSAN,Subsecretaria,"Rua Coronel Gomes Machado, 281, Centro, Niterói, RJ",8h às 18h,,Todo o Município de Niterói,,,Praias da Baía,,subsan@smases.niteroi.rj.gov.br,Centro,Mapa de Serviços e Equipamentos,"-22,8925470","-43,1164460"
UNIDADE DE ACOLHIMENTO ARTHUR BISPO DO ROSÁRIO,Unidade de Acolhimento,"Rua Coronel Gomes Machado, nº 279, Centro – Niterói/RJ.",24h,(21) -3962-4100/2620-0403 ramal - 560,Todo o Município de Niterói,Homens: 18 a 59 anos,Unidade de Acolhimento,Praias da Baía,,abispo@smases.rj.gov.br,Centro,Ambos os mapas,"-22,8921640","-43,1171670"
UNIDADE DE ACOLHIMENTO FLORESTAN FERNANDES,Unidade de Acolhimento,"Alameda São Boaventura, nº 611, Fonseca - Niterói/ RJ.",24h,(21) 3962-4100/2620-0403 ramal - 561,Todo o Município de Niterói,Homens: 18 a 59 anos,Unidade de Acolhimento,Norte,,ffernandes@smases.niteroi.rj.gov.br,Fonseca,Ambos os mapas,"-22,8808830","-43,0946470"
UNIDADE DE ACOLHIMENTO LÉLIA GONZALEZ,Unidade de Acolhimento,"Rua: Rua General Andrade Neves, nº258 – Niterói/RJ",24h,(21) 3601-2659,Todo o Município de Niterói,Mulheres e famílias: 18 a 59 anos,Unidade de Acolhimento,Norte,,ualeliagonzalez@gmail.com,São Lourenço,Ambos os mapas,"-22,8998170","-43,1268470"
UNIDADE DE ACOLHIMENTO LISAURA RUAS,Unidade de Acolhimento,"Rua Rua Doutor Luis Erthal, nº 320, Cafubá - Niterói/RJ",24h,(21) 3962-4100/2620-0403 ramal - 562,Todo o Município de Niterói,Crianças a partir dos 6 anos masculino e feminino e adolescentes do sexo feminino,Unidade de Acolhimento,Oceânica,,lruas@smases.niteroi.rj.gov.br,Cafubá,Ambos os mapas,"-22,9324700","-43,0696430"
UNIDADE DE ACOLHIMENTO PAULO FREIRE,Unidade de Acolhimento,"Rua: Gonçalves Ledo, nº25, Fonseca – Niterói /RJ.",24h,(21) 2628-9383,Todo o Município de Niterói,,Unidade de Acolhimento,Norte,,pfreire@smases.nireroi.rj.gov.br,Fonseca,Ambos os mapas,"-22,8812910","-43,1064970"
VALE SOCIAL,Vale Social,"Rua Coronel Gomes Machado, 259, Centro, Niterói, RJ",9h às 18h,(21)2613-6618,Todo o Município de Niterói,,Núcleo de Benefício e Renda,Praias da Baía,Segunda-feira a Sexta- feira,valesocial.sasdh@gmail.com,Centro,Ambos os mapas,"-22,8923610","-43,1171140"
